ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
44020629,-,VOLKSWAGEN,Golf,2012,Hatchback,No,Diesel,2.0 Turbo,0 km,4,Manual,Front,02-Mar,Left wheel,Grey,10,
45784798,-,HYUNDAI,Sonata,2012,Sedan,Yes,Petrol,2.4,26000 km,4,Tiptronic,Front,04-May,Left wheel,Grey,10,
45800257,-,NISSAN,Tiida,2005,Sedan,No,Petrol,1.5,168000 km,4,Automatic,Front,04-May,Right-hand drive,Sky blue,8,
45797981,975,VOLVO,XC90,2012,Jeep,Yes,Petrol,3.2,143000 km,6,Automatic,4x4,04-May,Left wheel,Blue,12,
45814303,-,OPEL,Astra,1993,Hatchback,No,Petrol,1.6,200000 km,4,Manual,Front,04-May,Left wheel,Black,0,
45812490,639,BMW,320,2014,Sedan,Yes,Petrol,2.0 Turbo,59733 km,4,Tiptronic,Rear,04-May,Left wheel,Black,12,
45772399,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8,Automatic,4x4,04-May,Left wheel,Black,0,
45766222,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,64496 km,6,Automatic,4x4,04-May,Left wheel,Blue,12,
45803362,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,300234 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45809004,645,DAEWOO,Lacetti,2011,Sedan,Yes,Petrol,1.8,170000 km,4,Automatic,Front,04-May,Left wheel,White,4,
45646460,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,127515 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45732871,663,HYUNDAI,Sonata,2015,Sedan,Yes,Diesel,1.7,20796 km,4,Automatic,Front,04-May,Left wheel,White,4,
45655649,645,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,197328 km,4,Automatic,Front,04-May,Left wheel,White,12,
45744987,-,HYUNDAI,Sonata hybrid,2012,Sedan,Yes,Hybrid,2.5,95000 km,4,Tiptronic,Front,04-May,Left wheel,Brown,10,
45803457,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,51236 km,4,Automatic,Front,04-May,Left wheel,White,4,
45768709,585,LEXUS,CT 200h,2013,Sedan,Yes,Hybrid,1.8,0 km,4,Automatic,Front,04-May,Left wheel,Red,0,
